season,player_name,name_key,position,team,ecr,ecr_sd,best,worst,ecr_rank,pos_rank,scrape_date,proj_ppg,proj_games,proj_points,replacement_rank,replacement_ppg,replacement_points,VORP,vorp_ppg,is_streamed,adp_rank,ffc_adp,adp_sd,bye
2026,Spencer Shrader,spencer shrader,K,IND,295.33,37.14,258.0,346.0,338,28,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,338,,28.583404478256874,
2026,Zane Gonzalez,zane gonzalez,K,FA,296.63,60.81,203.0,407.0,340,29,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,340,,28.735936810589784,
2026,Washington Commanders,washington commanders,DST,WAS,300.2,85.67,191.0,402.0,346,29,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,346,,29.193533807588505,
2026,Ryan Fitzgerald,ryan fitzgerald,K,CAR,306.0,70.88,213.0,408.0,360,30,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,360,,30.26126013391886,
2026,Chad Ryland,chad ryland,K,ARI,306.0,75.68,197.0,393.0,361,31,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,361,,30.33752630008531,
2026,Joey Slye,joey slye,K,TEN,317.14,63.91,212.0,403.0,383,32,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,383,,32.015381955747294,
2026,New York Jets,new york jets,DST,NYJ,320.2,81.0,191.0,431.0,393,30,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,393,,32.77804361741183,
2026,Miami Dolphins,miami dolphins,DST,MIA,326.22,55.43,187.0,392.0,414,31,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,414,,34.37963310690736,
2026,Ben Sauls,ben sauls,K,NYG,328.83,66.9,259.0,453.0,420,33,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,420,,34.83723010390608,
2026,Arizona Cardinals,arizona cardinals,DST,ARI,358.0,4.0,354.0,362.0,486,32,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,486,,39.87079707089204,
2026,Jason Sanders,jason sanders,K,NYJ,381.0,17.28,365.0,405.0,512,34,2026-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,True,512,,41.85371739121983,
2026,Christian Watson,christian watson,WR,GB,57.64,9.88,44.0,100.0,58,29,2026-08-21,9.578748777421993,14.430495889930551,138.22609486326536,28,9.70410835216612,140.31628944882755,-2.0901945855621875,-0.1253595747441274,False,58,56.2,5.5,11.0
2026,Chig Okonkwo,chig okonkwo,TE,WAS,157.8,26.81,106.0,236.0,151,17,2026-08-21,6.277367907606512,14.411814131742046,90.46825952098753,16,6.4466510716284615,92.90793701650507,-2.439677495517543,-0.16928316402194987,False,151,,14.321631405130017,
2026,Tony Pollard,tony pollard,RB,TEN,83.66,11.3,58.0,118.0,84,29,2026-08-21,9.061009989918544,13.73804041291153,124.48052142329605,28,9.217244954749557,127.0929008726215,-2.612379449325445,-0.15623496483101285,False,84,67.7,6.2,9.0
