player_name,position,proj_ppg_2025,VORP,adp_rank
Saquon Barkley,RB,21.435,10.676176470588233,3.0
Jahmyr Gibbs,RB,20.18888888888889,9.430065359477124,4.0
Derrick Henry,RB,19.678947368421053,8.920123839009287,7.0
Ja'Marr Chase,WR,19.970588235294116,8.50392156862745,1.0
Bijan Robinson,RB,18.188235294117646,7.429411764705881,2.0
Lamar Jackson,QB,25.607368421052634,6.616701754385968,21.0
Jonathan Taylor,RB,16.978571428571428,6.219747899159662,17.0
Rashee Rice,WR,17.633333333333336,6.16666666666667,64.0
Josh Jacobs,RB,16.70555555555556,5.946732026143794,16.0
Alvin Kamara,RB,16.521428571428572,5.762605042016807,45.0
George Kittle,TE,13.173333333333336,5.71450980392157,30.0
Joe Mixon,RB,16.118750000000002,5.359926470588237,74.0
James Cook,RB,16.068421052631578,5.3095975232198125,31.0
Kyren Williams,RB,16.044444444444444,5.285620915032679,26.0
Brock Bowers,TE,12.158823529411766,4.7,20.0
Chris Godwin,WR,16.114285714285717,4.647619047619051,98.0
Devon Achane,RB,15.347058823529414,4.5882352941176485,15.0
Josh Allen,QB,23.383157894736843,4.3924912280701776,23.0
Trey McBride,TE,11.76875,4.309926470588235,27.0
Taysom Hill,TE,11.73,4.271176470588235,
Chuba Hubbard,RB,14.940000000000001,4.181176470588236,42.0
Tee Higgins,WR,15.633333333333333,4.166666666666666,29.0
Joe Burrow,QB,23.048235294117646,4.05756862745098,39.0
Amon-Ra St. Brown,WR,15.465555555555556,3.9988888888888887,10.0
Justin Jefferson,WR,15.23777777777778,3.7711111111111126,5.0
Kenneth Walker,RB,14.381818181818183,3.622994652406417,41.0
Jalen Hurts,QB,22.50315789473684,3.512491228070175,33.0
James Conner,RB,14.26875,3.509926470588235,46.0
Chase Brown,RB,14.25,3.4911764705882344,25.0
Nico Collins,WR,14.921428571428573,3.454761904761906,9.0
Mike Evans,WR,14.806666666666667,3.34,35.0
Baker Mayfield,QB,22.305555555555557,3.314888888888891,67.0
David Montgomery,RB,13.954666666666666,3.1958431372549008,50.0
Jonnu Smith,TE,10.605882352941178,3.147058823529412,129.0
Malik Nabers,WR,14.473333333333334,3.0066666666666677,12.0
Puka Nacua,WR,14.415384615384616,2.948717948717949,13.0
David Njoku,TE,10.227272727272727,2.768449197860961,77.0
CeeDee Lamb,WR,14.193333333333333,2.7266666666666666,6.0
Davante Adams,WR,14.057142857142855,2.5904761904761884,43.0
Jayden Daniels,QB,21.509999999999998,2.519333333333332,28.0
Breece Hall,RB,13.275,2.516176470588235,40.0
Bucky Irving,RB,13.233333333333334,2.4745098039215687,19.0
Brian Thomas,WR,13.911764705882353,2.4450980392156865,14.0
Terry McLaurin,WR,13.825,2.3583333333333325,44.0
Joe Milton,QB,21.240000000000002,2.249333333333336,
Drake London,WR,13.576470588235296,2.109803921568629,18.0
Aaron Jones,RB,12.755555555555556,1.9967320261437909,71.0
J.K. Dobbins,RB,12.742857142857144,1.9840336134453782,108.0
Travis Kelce,TE,9.41578947368421,1.9569659442724445,57.0
Ladd McConkey,WR,13.417647058823531,1.9509803921568647,24.0
Tyrell Shavers,WR,13.4,1.9333333333333336,34.0
